"Time","Value"
2020-06-06 20:33:00,0
2020-06-06 20:33:15,0.02
2020-06-06 20:33:30,0.04
2020-06-06 20:33:45,0.04
2020-06-06 20:34:00,0.04
2020-06-06 20:34:15,0
2020-06-06 20:34:30,0.04
2020-06-06 20:34:45,0.06
2020-06-06 20:35:00,0.06
2020-06-06 20:35:15,0.04
2020-06-06 20:35:30,0.06
2020-06-06 20:35:45,0.1
2020-06-06 20:36:00,0.16
2020-06-06 20:36:15,0.09999999999999999
2020-06-06 20:36:30,0.07999999999999999
2020-06-06 20:36:45,0.04
2020-06-06 20:37:00,0.06
2020-06-06 20:37:15,0.05999960000799984
2020-06-06 20:37:30,0.08
2020-06-06 20:37:45,0.12
2020-06-06 20:38:00,0.15999960000799984
2020-06-06 20:38:15,0.16
2020-06-06 20:38:30,0.12000000000000001
2020-06-06 20:38:45,0.08
2020-06-06 20:39:00,0.08
2020-06-06 20:39:15,0.06
2020-06-06 20:39:30,0.12000000000000001
2020-06-06 20:39:45,0.14
2020-06-06 20:40:00,0.16
2020-06-06 20:40:15,0.18
2020-06-06 20:40:30,0.19999999999999998
2020-06-06 20:40:45,0.24
2020-06-06 20:41:00,0.1
2020-06-06 20:41:15,0.08
2020-06-06 20:41:30,0.08
2020-06-06 20:41:45,0.06
2020-06-06 20:42:00,0.06
2020-06-06 20:42:15,0.09999999999999999
2020-06-06 20:42:30,0.13999999999999999
2020-06-06 20:42:45,0.18
2020-06-06 20:43:00,0.16
2020-06-06 20:43:15,0.07999999999999999
2020-06-06 20:43:30,0.02
2020-06-06 20:43:45,0.04
2020-06-06 20:44:00,0.04
2020-06-06 20:44:15,0.04
2020-06-06 20:44:30,0.06
2020-06-06 20:44:45,0.08
2020-06-06 20:45:00,0.08
2020-06-06 20:45:15,0.08
2020-06-06 20:45:30,0.08
2020-06-06 20:45:45,0.08
2020-06-06 20:46:00,0.08
2020-06-06 20:46:15,0.04
2020-06-06 20:46:30,0.06
2020-06-06 20:46:45,0.08
2020-06-06 20:47:00,0.1
2020-06-06 20:47:15,0.09999999999999999
2020-06-06 20:47:30,0.1
2020-06-06 20:47:45,0.08
2020-06-06 20:48:00,0.12
2020-06-06 20:48:15,0.15999999999999998
2020-06-06 20:48:30,0.24
2020-06-06 20:48:45,0.26
2020-06-06 20:49:00,0.24
2020-06-06 20:49:15,0.2
2020-06-06 20:49:30,0.1
2020-06-06 20:49:45,0.08
2020-06-06 20:50:00,0.02
2020-06-06 20:50:15,0
2020-06-06 20:50:30,0.02
2020-06-06 20:50:45,0.06
2020-06-06 20:51:00,0.06
2020-06-06 20:51:15,0.1
2020-06-06 20:51:30,0.07999999999999999
2020-06-06 20:51:45,0.09999999999999999
2020-06-06 20:52:00,0.04
2020-06-06 20:52:15,0.08
2020-06-06 20:52:30,0.10000040000800015
2020-06-06 20:52:45,0.15999840003199936
2020-06-06 20:53:00,0.14

